UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2016,8,10,Happy birthday Madame Chapeau / words by Andrea Beatty ; pictures by David Roberts.,NA,"Beaty, Andrea","Hats Juvenile fiction, Millinery Juvenile fiction, Birthdays Juvenile fiction, Friendship Juvenile fiction","Abrams Books for Young Readers,",2014.
Physical,Horizon,BOOK,2016,8,5,Attack of the fluffy bunnies / written by Andrea Beaty ; illustrated by Dan Santat.,NA,"Beaty, Andrea","Extraterrestrial beings Fiction, Camps Juvenile fiction, Twins Juvenile fiction, Brothers and sisters Fiction, Humorous stories","Amulet Books,",2010.
Physical,Horizon,BOOK,2016,8,3,When giants come to play / written by Andrea Beaty ; illustrated by Kevin Hawkes.,NA,"Beaty, Andrea","Giants Juvenile fiction, Games Juvenile fiction","Abrams Books for Young Readers,",2006.
Physical,Horizon,BOOK,2016,8,2,Dorko the magnificent / Andrea Beaty.,NA,"Beaty, Andrea","Magicians Juvenile fiction, Magic tricks Juvenile fiction, Grandmothers Juvenile fiction, Families Juvenile fiction, Humorous fiction, Family life Fiction, Humorous stories","Amulet Books,",2013.
Physical,Horizon,BOOK,2016,8,1,"Hush, Baby Ghostling / by Andrea Beaty ; and [illustrated by] Pascal Lemaitre.",NA,"Beaty, Andrea","Bedtime Juvenile fiction, Ghosts Fiction, Mother and child Juvenile fiction, Monsters Juvenile fiction","Margaret K. McElderry Books,",c2009.
Digital,OverDrive,EBOOK,2016,8,3,"Rosie Revere, Engineer",NA,Andrea Beaty,"Juvenile Fiction, Picture Book Fiction",ABRAMS,2014
Physical,Horizon,BOOK,2016,8,13,Firefighter Ted / by Andrea Beaty ; and Pascal Lemaitre.,NA,"Beaty, Andrea","Fire fighters Juvenile fiction, Schools Fiction, Imagination Fiction, Humorous stories","Margaret K. McElderry Books,",2009.
Physical,Horizon,BOOK,2016,8,27,"Rosie Revere, engineer / by Andrea Beaty ; illustrated by David Roberts.",NA,"Beaty, Andrea","Stories in rhyme Juvenile fiction, Engineers Juvenile fiction, Inventions Juvenile fiction, Failure Psychology Juvenile fiction, Perseverance Ethics Juvenile fiction, Perseverance Ethics Fiction","Abrams Books for Young Readers,",2013.
Physical,Horizon,BOOK,2016,8,4,Fluffy bunnies 2 : the Schnoz of Doom / written by Andrea Beaty ; illustrated by Dan Santat.,NA,"Beaty, Andrea","Extraterrestrial beings Juvenile fiction, Smell Juvenile fiction, Twins Juvenile fiction, Brothers and sisters Juvenile fiction, Extraterrestrial beings Fiction, Smell Fiction, Twins Fiction, Brothers and sisters Fiction, Humorous stories, Humorous fiction","Amulet Books,",[2015]
Digital,OverDrive,EBOOK,2016,8,1,Dorko the Magnificent,NA,Andrea Beaty,"Juvenile Fiction, Literature",ABRAMS,2014
