latitude,longitude,battle_link,location_link
39°35′32″N,74°19′59″W,/wiki/Affair_at_Little_Egg_Harbor,"/wiki/Tuckerton,_New_Jersey"
43°N,76°W,/wiki/Carleton%27s_Raid_(1778),/wiki/New_York_(state)
42°48′32″N,74°44′14″W,/wiki/Cherry_Valley_Massacre,"/wiki/Cherry_Valley_(town),_New_York"
15°49′06″N,87°22′03″W,/wiki/Action_of_12_December_1779,/wiki/Jeannette_Kawas_National_Park
13°53′00″N,60°58′00″W,/wiki/Capture_of_St._Lucia,/wiki/St._Lucia
32°04′52″N,81°05′28″W,/wiki/Capture_of_Savannah,"/wiki/Savannah,_Georgia"
32°26′08″N,80°44′19″W,/wiki/Battle_of_Beaufort,/wiki/Port_Royal_Island
33°44′12.5″N,82°44′21.5″W,/wiki/Battle_of_Kettle_Creek,"/wiki/Washington,_Georgia"
38°40′39″N,87°30′07″W,/wiki/Siege_of_Fort_Vincennes,"/wiki/Vincennes,_Indiana"
32°45′N,81°37′W,/wiki/Battle_of_Brier_Creek,"/wiki/Screven_County,_Georgia"
,,/wiki/Battle_of_Chillicothe,/wiki/Chalahgawtha#Old_Chillicothe
,,/wiki/Chesapeake_raid,
13°15′N,61°12′W,/wiki/Capture_of_Saint_Vincent,/wiki/Saint_Vincent_(island)
32°48′N,79°56′W,/wiki/Battle_of_Stono_Ferry,"/wiki/Charleston_County,_South_Carolina"
36°08′N,5°21′W,/wiki/Great_Siege_of_Gibraltar,/wiki/Gibraltar
12°06′N,61°42′W,/wiki/Capture_of_Grenada,/wiki/Grenada
,,/wiki/Tryon%27s_raid,
12°06′N,61°42′W,/wiki/Battle_of_Grenada,/wiki/Grenada
41°14′14″N,74°0′4″W,/wiki/Battle_of_Stony_Point,"/wiki/Stony_Point,_New_York"
41°31′47″N,74°53′50″W,/wiki/Battle_of_Minisink,"/wiki/Highland,_Sullivan_County,_New_York"
44°11′14″N,68°55′16″W,/wiki/Penobscot_Expedition,/wiki/Penobscot_Bay
40°43′01″N,74°02′16″W,/wiki/Battle_of_Paulus_Hook,"/wiki/Paulus_Hook,_Jersey_City"
42°1′21″N,76°44′22″W,/wiki/Battle_of_Newtown,"/wiki/Ashland,_Chemung_County,_New_York"
30°19′25″N,91°08′13″W,/wiki/Capture_of_Fort_Bute,/wiki/Fort_Bute
30°11′20″N,90°06′05″W,/wiki/Battle_of_Lake_Pontchartrain,/wiki/Lake_Pontchartrain
42°39′53″N,77°46′11″W,/wiki/Boyd_and_Parker_ambush,"/wiki/Groveland,_New_York"
38°40′N,28°04′W,/wiki/Action_of_14_September_1779,/wiki/Azores
32°04′52″N,81°05′28″W,/wiki/Siege_of_Savannah,"/wiki/Savannah,_Georgia"
30°27′15″N,91°11′18″W,/wiki/Battle_of_Baton_Rouge_(1779),/wiki/Fort_New_Richmond
54°06′58″N,0°04′59″W,/wiki/Battle_of_Flamborough_Head,/wiki/Flamborough_Head
48°27′40″N,5°05′00″W,/wiki/Action_of_6_October_1779,/wiki/Ushant
15°46′26″N,88°02′11″W,/wiki/Battle_of_San_Fernando_de_Omoa,/wiki/San_Fernando_de_Omoa
38°43′31″N,09°09′00″W,/wiki/Action_of_11_November_1779,/wiki/Lisbon
38°43′31″N,09°09′00″W,/wiki/Action_of_20_November_1779,/wiki/Lisbon
14°39′00″N,61°00′54″W,/wiki/Battle_of_Martinique_(1779),/wiki/Martinique
42°52′57″N,9°16′20″W,/wiki/Action_of_8_January_1780,/wiki/Cape_Finisterre
37°1′30″N,8°59′40″W,/wiki/Battle_of_Cape_St._Vincent_(1780),/wiki/Cape_St._Vincent
41°7′18″N,73°46′37″W,/wiki/Battle_of_Young%27s_House,"/wiki/Thornwood,_New_York"
34°6′35″N,82°51′56″W,/wiki/Battle_of_Van_Creek,"/wiki/Elberton,_Georgia"
10°56′23″N,83°41′54″W,/wiki/San_Juan_Expedition_(1780),/wiki/San_Juan_River_(Nicaragua)
30°41′18.5″N,88°02′24.8″W,/wiki/Battle_of_Fort_Charlotte,"/wiki/Fort_Charlotte,_Mobile"
32°47′00″N,79°55′55″W,/wiki/Siege_of_Charleston,"/wiki/Charleston,_South_Carolina"
33°12′N,80°0′W,/wiki/Battle_of_Monck%27s_Corner,"/wiki/Moncks_Corner,_South_Carolina"
14°39′00″N,61°00′54″W,/wiki/Battle_of_Martinique_(1780),/wiki/Martinique
33°13′N,79°57′W,/wiki/Battle_of_Lenud%27s_Ferry,"/wiki/Berkeley_County,_South_Carolina"
37°37′N,83°27′W,/wiki/Bird%27s_invasion_of_Kentucky,"/wiki/Kentucky_County,_Virginia"
38°37′38″N,90°11′52″W,/wiki/Battle_of_St._Louis,/wiki/St._Louis
34°41′N,80°42′W,/wiki/Battle_of_Waxhaws,"/wiki/Lancaster_County,_South_Carolina"
40°41′43″N,74°16′09″W,/wiki/Battle_of_Connecticut_Farms,"/wiki/Union_Township,_Union_County,_New_Jersey"
34°24′N,81°08′W,/wiki/Battle_of_Mobley%27s_Meeting_House,"/wiki/Fairfield_County,_South_Carolina"
35°28′30″N,81°14′19″W,/wiki/Battle_of_Ramsour%27s_Mill,"/wiki/Lincolnton,_North_Carolina"
40°41′53″N,74°20′04″W,/wiki/Battle_of_Springfield_(1780),"/wiki/Springfield_Township,_Union_County,_New_Jersey"
34°58′N,81°11′W,/wiki/Huck%27s_Defeat,"/wiki/York_County,_South_Carolina"
40°47′38″N,73°59′47″W,/wiki/Battle_of_Bull%27s_Ferry,/wiki/Bulls_Ferry
35°19′N,80°15′W,/wiki/Battle_of_Colson%27s_Mill,"/wiki/Stanly_County,_North_Carolina"
34°34′15″N,80°54′1″W,/wiki/Battle_of_Rocky_Mount,"/wiki/Great_Falls,_South_Carolina"
34°41′N,80°42′W,/wiki/Battle_of_Hanging_Rock,"/wiki/Lancaster_County,_South_Carolina"
39°54′24″N,84°0′55″W,/wiki/Battle_of_Pekowee,"/wiki/Bethel_Township,_Clark_County,_Ohio"
37°1′30″N,8°59′40″W,/wiki/Action_of_9_August_1780,/wiki/Cape_St._Vincent
48°27′40″N,5°05′00″W,/wiki/Action_of_10_August_1780,/wiki/Ushant
51°36.287′N,8°32.018′W,/wiki/Action_of_13_August_1780,/wiki/Old_Head_of_Kinsale
34°20′N,80°35′W,/wiki/Battle_of_Camden,"/wiki/Kershaw_County,_South_Carolina"
34°41′N,81°10′W,/wiki/Battle_of_Fishing_Creek,"/wiki/Chester_County,_South_Carolina"
34°29′N,82°01′W,/wiki/Battle_of_Musgrove_Mill,"/wiki/Laurens_County,_South_Carolina"
33°25′N,79°18′W,/wiki/Battle_of_Black_Mingo,"/wiki/Georgetown_County,_South_Carolina"
34°59′N,80°32′W,/wiki/Battle_of_Wahab%27s_Plantation,"/wiki/Union_County,_North_Carolina"
35°13′38″N,80°50′35″W,/wiki/Battle_of_Charlotte,"/wiki/Charlotte,_North_Carolina"
32°19′N,64°44′W,/wiki/Action_of_30_September_1780,/wiki/Bermudas
35°15′N,80°50′W,/wiki/Battle_of_McIntyre_Farm,"/wiki/Mecklenburg_County,_North_Carolina"
34°58′N,81°11′W,/wiki/Battle_of_Kings_Mountain,"/wiki/York_County,_South_Carolina"
36°04′56″N,80°31′46″W,/wiki/Battle_of_Shallow_Ford,"/wiki/Huntsville,_North_Carolina"
44°00′N,72°42′W,/wiki/Royalton_Raid,/wiki/Vermont_Republic
42°59′59″N,74°40′42″W,/wiki/Battle_of_Klock%27s_Field,"/wiki/St._Johnsville,_New_York"
34°N,81°W,/wiki/Battle_of_Tearcoat_Swamp,/wiki/South_Carolina
40°30′N,82°30′W,/wiki/La_Balme%27s_Defeat,/wiki/Ohio_Country
34°41′N,81°10′W,/wiki/Battle_of_Fishdam_Ford,"/wiki/Chester_County,_South_Carolina"
34°41′N,81°37′W,/wiki/Battle_of_Blackstock%27s_Farm,"/wiki/Union_County,_South_Carolina"
40°47′49″N,72°52′16″W,/wiki/Battle_of_Fort_St._George,"/wiki/Shirley,_New_York"
49°11′09″N,02°06′36″W,/wiki/Battle_of_Jersey,/wiki/Saint_Helier
30°25′58.9″N,87°11′26.5″W,/wiki/Battle_of_Mobile_(1781),/wiki/British_West_Florida
