name,link,date,location
,/wiki/Battle_of_Piqua,"August 8, 1781
","Ohio
"
,"/wiki/Invasion_of_Minorca,_1781","August 19, 1781 – February 5, 1782",Minorca
,/wiki/Lochry%27s_Defeat,"August 24, 1781",Quebec
,/wiki/Battle_of_Elizabethtown,"August 27, 1781",North Carolina
,/wiki/Battle_of_the_Chesapeake,"September 5, 1781",Virginia
,/wiki/Battle_of_Groton_Heights,"September 6, 1781",Connecticut
,/wiki/Battle_of_Eutaw_Springs,"September 8, 1781",South Carolina
,/wiki/Battle_of_Lindley%27s_Mill,"September 13, 1781",North Carolina
,/wiki/Long_Run_Massacre,"September 13, 1781",Virginia
,/wiki/Siege_of_Yorktown,"September 28-October 19, 1781",Virginia
,/wiki/Battle_of_Fort_Slongo,"October 3, 1781",New York
,/wiki/Battle_of_Raft_Swamp,"October 15, 1781",North Carolina
,/wiki/Battle_of_Johnstown,"October 25, 1781",New York
,/wiki/Battle_of_Ushant_(1781),"December 12, 1781",Bay of Biscay
,/wiki/Battle_of_Videau%27s_Bridge,"January 2, 1782",South Carolina
,/wiki/Siege_of_Brimstone_Hill,"January 11-February 13, 1782",St. Christopher
,/wiki/Action_of_15_January_1782,"January 15, 1782
","Jamaica
"
,/wiki/Capture_of_Demerara_and_Essequibo,"January 22-February 5, 1782",Demerara and Essequibo
,/wiki/Battle_of_Saint_Kitts,"January 25–26, 1782",St. Christopher
,/wiki/Capture_of_Montserrat,"February 22, 1782",Montserrat
,/wiki/Battle_of_Wambaw,"February 24, 1782",South Carolina
,/wiki/Gnadenh%C3%BCtten_massacre,"March 8, 1782",Ohio
,/wiki/Battle_of_Roat%C3%A1n,"March 16, 1782",Guatemala
,/wiki/Action_of_16_March_1782,"March 16, 1782",Strait of Gibraltar
,/wiki/Battle_of_Little_Mountain,"March 22, 1782",Virginia
,/wiki/Battle_of_Delaware_Bay,"April 8, 1782",New Jersey
,/wiki/Battle_of_the_Saintes,"April 9–12, 1782",Dominica
,/wiki/Battle_of_the_Black_River,"April–August, 1782",Guatemala
,/wiki/Battle_of_the_Mona_Passage,"April 19, 1782",Mona passage
,/wiki/Action_of_20%E2%80%9321_April_1782,"April 20–21, 1782",Bay of Biscay
,/wiki/Capture_of_the_Bahamas_(1782),"May 6, 1782",Bahamas
,/wiki/Crawford_expedition,"May 25-June 12, 1782",Quebec
,/wiki/Naval_battle_off_Halifax,"May 28–29, 1782",Nova Scotia
,"/wiki/Raid_on_Chester,_Nova_Scotia","June 30, 1782",Nova Scotia
,"/wiki/Raid_on_Lunenburg,_Nova_Scotia_(1782)","July 1, 1782",Nova Scotia
,/wiki/Hudson_Bay_Expedition,"August 8, 1782",Rupert's Land
,/wiki/Siege_of_Bryan_Station,"August 15–17, 1782",Virginia
